
IFM.COM - Country	CC	Modal Data		
Lithuania	lt	https://www.ifm.com/web/read_jsoncountries_lt.js		{ "info": [{"company":"Elinta UAB", "address":"Terminalo Str. 3, Biruliskes<br>54469 Kaunas district<br>Phone +370 37 351 987<br>Fax +370 37 452 780","email":"info@elinta.lt", "link":"www.elinta.lt", "flag":"lt"}]}
Luxembourg	lu	https://www.ifm.com/web/read_jsoncountries_lu.js		Skip: Luxenberg - cant find link { "info": [{"company":"", "address":"","email":"", "link":"", "flag":""}]}
				
Macedonia	mk	https://www.ifm.com/web/read_jsoncountries_mk.js		{ "info": [{"company":"ifm electronic gmbh", "address":"Wienerbergstr. 41<br>GebÃ¤ude E<br>1120 Wien<br>Phone +43 / 1 / 617 45 00<br>Fax +43 / 1 / 617 45 00 10","email":"", "link":"", "flag":"MK"},{"company":"", "address":"","email":"", "link":"", "flag":""}]}
Montenegro	me	https://www.ifm.com/web/read_jsoncountries_me.js		{ "info": [{"company":"ifm electronic gmbh", "address":"Wienerbergstr. 41<br>GebÃ¤ude E<br>1120 Wien<br>Phone +43 / 1 / 617 45 00<br>Fax +43 / 1 / 617 45 00 10","email":"", "link":"", "flag":"ME"}]}
				
Nepal	np	https://www.ifm.com/web/read_jsoncountries_np.js		{ "info": [{"company":"ifm electronic India Private Limited", "address":"Plot No. P-39/1<br>MIDC Gokul Shirgaon<br>Kolhapur â€“ 416234<br>Maharashtra State<br>Phone +91 / 231 / 267 27 70<br>Fax +91 / 231 / 267 23 88","email":"", "link":"", "flag":"NP"}]}
Nigeria	ng	https://www.ifm.com/web/read_jsoncountries_ng.js		{ "info": [{"company":"Automated Process Ltd.", "address":"3rd Floor, 32 Lagos Abeokuta Expressway <br>Near Cement Bus Stop<br>Dopemu, Agege<br>Lagos<br>Phone +234 1 4729 967<br>Fax +234 1 4925 865","email":"sales@automated-process.com", "link":"www.automated-process.com", "flag":"ng"}]}
Norway	no	https://www.ifm.com/web/read_jsoncountries_no.js		{ "info": [{"company":"JFKnudtzen AS", "address":"Billingstadsletta 97<br>1396 Billingstad<br>Postboks 160<br>1378 Nesbru<br>Phone +47 66 98 33 50<br>Fax +47 66 98 09 55","email":"bestilling@jfknudtzen.no", "link":"www.jfknudtzen.no", "flag":"N"}]}
				
Oman	om	https://www.ifm.com/web/read_jsoncountries_om.js		{ "info": [{"company":"TEC Technical Engineering Comp. LLC", "address":"PO Box 59<br>Madinat Al Sultan Qaboos<br>115 Muscat<br>Phone +968 24591670<br>Fax +968 2451700","email":"tecoman@omantel.net.om", "link":"", "flag":"om"}]}
				
Pakistan	pk	https://www.ifm.com/web/read_jsoncountries_pk.js	{ "info": [{"company":"", "address":"<b>Mindstorm Engineering</b><br>F-18 F-Market, Imam Ahmed Road, <br>Block-6, PECHS Opp Beacon House School,<br>Karachi, Pakistan<br>Phone +92 332-3373858, +92 344-2551023<br>support@mindstormengg.com<br>www.mindstormengg.com<br><br><b>Automation Controls (Pak)</b><br>Appt # 33 C III Chenab Block,<br>Allama Iqbal Town<br>Lahore - Pakistan<br>Phone +92-42-37809948/9<br>Fax +92-42-37809950","email":"faheem@acpak.com.pk", "link":"www.acpak.com.pk", "flag":"pk"}]}	
Panama	pa	https://www.ifm.com/web/read_jsoncountries_pa.js		{ "info": [{"company":"JDA INGENIERIA", "address":"Golden Point Tower Office: 15-07<br>Via Ricardo J. Alfaro, Ciudad de PanamÃ¡<br>Phone +507 3030216<br>Phone +507 3030217<br>Mobile +507 62004205","email":"jaguilar@jdaingenieria.com", "link":"www.jdaingenieria.com", "flag":"PAN"}]}
Peru	pe	https://www.ifm.com/web/read_jsoncountries_pe.js		{ "info": [{"company":"ACME", "address":"Av. Andres Tinoco 133<br>Lima, Surco<br>Phone +51 990556005","email":"acmecia@acmecia.com", "link":"www.acmecia.com", "flag":"pe"}]}
Philippines	ph	https://www.ifm.com/web/read_jsoncountries_ph.js		{ "info": [{"company":"", "address":"<b>iProcess Controls Trading INC.</b><br>Unit 303 Tower B Almanza Metropolis<br>Condominium Manila Doctors Village,<br>Almanza Las Pinas City<br>Phone +63 27722309<br>Fax +63 25875990<br>ifm@iprocesscontrols.com<br><br><b>GRAM Industrial, Inc.</b><br>8th Floor, The Sycamore Prime Building,<br>Alabang-Zapote Road, Muntinlupa City, 1771<br>Phone +63 2 807 2084 / +63 2 850 8496<br>Cel. No. +63 917 552 7825","email":"info@gram.com.ph", "link":"www.gram.com.ph", "flag":"RP"}]}
				
Qatar	qa	https://www.ifm.com/web/read_jsoncountries_qa.js		{ "info": [{"company":"Advanced Fluid Power", "address":"PO Box 201382<br>Building No. 01<br>Shop No. 36 & 37<br>Barwa Village Al Wakra<br>Doha<br>Phone +974 40164273<br>Phone +974 40164275<br>Fax +974 40164274","email":"sales@afp-qatar.com", "link":"www.afp-qatar.com", "flag":"QAT"}]}
				
Saudi Arabia	sa	https://www.ifm.com/web/read_jsoncountries_sa.js		{ "info": [{"company":"", "address":"<b>Bariq Trading Establishment</b><br>PO Box 27001<br>11417 Riyadh<br>Phone +966 14728782<br>Fax +966 14725576<br>info@bariqarabia.com","email":"", "link":"www.bariqarabia.com", "flag":"SA"}]}
Senegal	sn	https://www.ifm.com/web/read_jsoncountries_sn.js		{ "info": [{"company":"D.M.R. suarl", "address":"RÃ©sidence KASTELLE Almadies Zone 16-17<br>Zone 16-17 BP30127<br>Dakar<br>Senegal<br>Telefon +221 33 868 1504<br>Fax +33 8240043","email":"cabinetdmr@yahoo.fr", "link":"", "flag":"sen"}]}
Sri Lanka	lk	https://www.ifm.com/web/read_jsoncountries_lk.js		{ "info": [{"company":"ifm electronic India Private Limited", "address":"Plot No. P-39/1<br>MIDC Gokul Shirgaon<br>Kolhapur â€“ 416234<br>Maharashtra State<br>Phone +91 / 231 / 267 27 70<br>Fax +91 / 231 / 267 23 88","email":"", "link":"", "flag":"LK"}]}
				
Thailand	th	https://www.ifm.com/web/read_jsoncountries_th.js		{ "info": [{"company":"SCM Allianze Co. Ltd.", "address":"700/19-24<br>Phaholyothin Road<br>Samsennai Phayatai<br>10400 Bangkok<br>Phone +66 2 615 4888<br>Fax +66 2 615 4644<br>contact@scma.co.th<br>www.scma.co.th<br>www.ifm-thailand.com","email":"", "link":"", "flag":"T"}]}
Tunisia	tn	https://www.ifm.com/web/read_jsoncountries_tn.js		{ "info": [{"company":"TECHNOPREST", "address":"90, Avenue de Carthage Appt. A33<br>1000 Tunis<br>Phone +216 71 385 355<br>Phone +216 71 389 203<br>Fax +216 71 389 215","email":"", "link":"www.technoprest.com.tn", "flag":"Tun"}]}
				
United Arab Emirates	ae	https://www.ifm.com/web/read_jsoncountries_ae.js		{ "info": [{"company":"", "address":"<b>Al Itqan Factory Equipment Trading LLC</b><br>PO Box 92924<br>Dubai<br>Phone +971 42673838<br>Fax +971 42672300","email":"aifeqtrd@eim.ae", "link":"www.itqanuae.com", "flag":"VAE"}]}
Uruguay	uy	https://www.ifm.com/web/read_jsoncountries_uy.js		{ "info": [{"company":"Temac SA", "address":"Isabela 3264<br>Montevideo<br>Phone +598 22188017","email":"ventas@temac.com.uy", "link":"www.temac.com.uy", "flag":"ROU"}]}
				
Venezuela	ve	https://www.ifm.com/web/read_jsoncountries_ve.js		{ "info": [{"company":"Petrobornas CA", "address":"CC Plaza Aeropuerto<br>Calle Neveri<br>Piso 1 Local 3 Unare<br>25300 Puerto Ordaz<br>Phone +58 286 9513382","email":"info@petrobornas.net", "link":"petrobornas.net", "flag":"ve"}]}
				
End		End		


